Price_List_Code,Source_Type,Assign_to_No,Product_No,Description,Unit_Cost,Unit_Price,Line_Discount_Percent,Minimum_Quantity,Starting_Date,Ending_Date,Posting_Group
GNB-01,Customer Price Group,GNB,FH12-00084-00,"HINGE, OFFSET, #3, 11 GA, HEAVY DUTY",1.75,2.5,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00084-02,"HINGE, OFFSET, #3, 11 GA, HEAVY DUTY, POWDERCOATED",4.1,5.86,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00085-00,"HINGE, OFFSET, #3, 14 GA, GALV",1.26776,1.81,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00085-02,"HINGE, OFFSET, #3, 14 GA, GALV, POWDERCOATED",2.448,3.5,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00100-00,"HINGE, OFFSET, #13, 11 GA, HEAVY DUTY",12.66,18.09,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00131-00,"SAFETY BOTTOM BRACKET ASSEMBLY, 3"", LH",75,107.14,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00132-00,"SAFETY BOTTOM BRACKET ASSEMBLY, 3"", RH",75,107.14,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00162-00,1/2 HINGE 14 GA,1.76378,2.52,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00164-00,COMM-EXTENDED TOP BRACKET ASSEMBLED,4,5.71,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00166-00,"2"" LHR BOTTOM BRACKET LH",40.27,57.53,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00167-00,"2"" LHR BOTTOM BRACKET RH",40.09,57.27,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00169-00,"BB-6 3"" BOTTOM BRACKETS NOTCHED LH",12,17.14,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00170-00,"BB-6 3"" BOTTOM BRACKETS, NOTCHED RH",12,17.14,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00171-00,"BB-6 3"" BOTTOM BRACKETS NOTCHED PAIR",9.691,13.84,0,0,2026-05-06,,HARD
